RegionID,RegionName,City,Region,State,Metro,CountyName,SizeRank,2019-10
97539,94065,Redwood City,West,CA,San Francisco-Oakland-Hayward,San Mateo County,5340,1129500
97769,94563,Orinda,West,CA,San Francisco-Oakland-Hayward,Contra Costa County,4250,1122500
97131,93109,Santa Barbara,West,CA,Santa Maria-Santa Barbara,Santa Barbara County,5619,1122000
96008,90027,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,213,1115300
97715,94507,Alamo,West,CA,San Francisco-Oakland-Hayward,Contra Costa County,4947,1108400
96016,90035,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1726,1104100
97881,94941,Mill Valley,West,CA,San Francisco-Oakland-Hayward,Marin County,2038,1101100
96049,90068,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1886,1099800
96271,91011,La Canada Flintridge,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,4486,1096400
97842,94708,Berkeley,West,CA,San Francisco-Oakland-Hayward,Alameda County,5489,1095600
96030,90049,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,722,1094000
96015,90034,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,50,1091000
96027,90046,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,21,1085000
97527,94040,Mountain View,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1316,1084900
96981,92663,Newport Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,2750,1082300
96628,92075,Solana Beach,West,CA,San Diego-Carlsbad,San Diego County,4761,1076500
97549,94087,Sunnyvale,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,401,1075600
97756,94549,Lafayette,West,CA,San Francisco-Oakland-Hayward,Contra Costa County,2620,1074300
97537,94063,Redwood City,West,CA,San Francisco-Oakland-Hayward,San Mateo County,2414,1070500
96126,90290,Topanga,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,6589,1069100
98952,96821,Honolulu,West,HI,Urban Honolulu,Honolulu County,4572,1056000
97837,94703,Berkeley,West,CA,San Francisco-Oakland-Hayward,Alameda County,3596,1054300
96128,90292,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1417,1049200
97567,94112,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,395,1047900
