RegionID,RegionName,City,State,Region,Metro,CountyName,SizeRank,2019-10
96129,90293,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,5210,1405900
93818,81615,Snowmass Village,CO,,Glenwood Springs,Pitkin County,9659,1378800
96449,91604,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,1733,1378600
97769,94563,Orinda,CA,,San Francisco-Oakland-Hayward,Contra Costa County,4861,1376600
97841,94707,Berkeley,CA,,San Francisco-Oakland-Hayward,Alameda County,6003,1365700
96628,92075,Solana Beach,CA,,San Diego-Carlsbad,San Diego County,5457,1361800
97843,94709,Berkeley,CA,,San Francisco-Oakland-Hayward,Alameda County,5760,1358400
96015,90034,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,62,1344000
95985,90004,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,182,1336500
97869,94925,Corte Madera,CA,,San Francisco-Oakland-Hayward,Marin County,6877,1336400
99525,98040,Mercer Island,WA,,Seattle-Tacoma-Bellevue,King County,3348,1335900
97756,94549,Lafayette,CA,,San Francisco-Oakland-Hayward,Contra Costa County,2969,1331300
58652,2138,Cambridge,MA,,Boston-Cambridge-Newton,Middlesex County,1565,1330700
97131,93109,Santa Barbara,CA,,Santa Maria-Santa Barbara,Santa Barbara County,6504,1327300
97780,94574,Saint Helena,CA,,Napa,Napa County,6571,1324800
93798,81435,Mountain Village,CO,,,San Miguel County,6950,1320200
66155,20037,Washington,DC,,Washington-Arlington-Alexandria,District of Columbia,4571,1318700
58804,2554,Nantucket,MA,,,Nantucket County,4716,1317800
97952,95051,Santa Clara,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,250,1315000
97842,94708,Berkeley,CA,,San Francisco-Oakland-Hayward,Alameda County,6351,1312900
97998,95130,San Jose,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,6274,1310400
97837,94703,Berkeley,CA,,San Francisco-Oakland-Hayward,Alameda County,4097,1297600
